
Date,Amount,Category,Subcategory,Payment Method,Description,Ref/Check No,Payee/Payer,Status,Receipt Picture,Account,Tag,Tax,Quantity,Unit,Split Total,Row Id,Type Id
01-01-1970,-52000,Uncategorized,,,School fee,,,clear,,$ShoppingList,,,1,PCS,,4453,My Cash
14-06-2020,-74.75,Loans,GST,,,,carrier ac,,,HDFC FREEDOM Card,,,1,PCS,,53,
29-06-2020,-651,Groceries,કર્યાણું,,,,bhagirath General store,unclear,,Tata Star Titanium Sbi Card,,,1,PCS,,121,
02-07-2020,-6726,Insurance,Health,,,,New India insurance,cleared,,Tata Star Titanium Sbi Card,,,1,PCS,,119,
02-07-2020,-120,Utilities,Telephone,,,,Vodafone,cleared,,Tata Star Titanium Sbi Card,Krishna,,1,PCS,,120,
02-07-2020,17,Income,,,,,cred,clear,,HDFC FREEDOM Card,,,1,PCS,,2037,
04-07-2020,7430.00,Income,Initial Balance,,Initial Balance,,,Cleared,,My Cash,,,,,,1,
04-07-2020,-3000,Young collection,Office Furniture,,Wood for counter,,Young collection,,,My Cash,,,1,PCS,,48,
07-07-2020,-240,Young collection,Office Furniture,,sliding channels,,Young collection,,,My Cash,,,1,PCS,,49,
09-07-2020,18,Income,Initial Balance,,Initial Balance,,,Cleared,,Citi Rewards Card,,,,,,2,
09-07-2020,6,Income,Initial Balance,,Initial Balance,,,Cleared,,Tata Star Titanium Sbi Card,,,,,,3,
09-07-2020,,Income,Initial Balance,,Initial Balance,,,Cleared,,HDFC FREEDOM Card,,,,,,4,
09-07-2020,5524.95,Income,Initial Balance,,Initial Balance,,,Cleared,,Zerodha,,,,,,5,
09-07-2020,49955.97,Income,Initial Balance,,Initial Balance,,,Cleared,,SBI SALARY Account,,,,,,6,
09-07-2020,4101.92,Income,Initial Balance,,Initial Balance,,,Cleared,,SBI218,,,,,,7,
09-07-2020,30,Income,Initial Balance,,Initial Balance,,,Cleared,,Freecharge,,,,,,8,
09-07-2020,696.13,Income,Initial Balance,,Initial Balance,,,Cleared,,PayTM,,,,,,9,
09-07-2020,292,Income,Initial Balance,,Initial Balance,,,Cleared,,Google Pay,,,,,,10,
09-07-2020,91.64,Income,Initial Balance,,Initial Balance,,,Cleared,,Payzapp,,,,,,11,
09-07-2020,,Income,Initial Balance,,Initial Balance,,,Cleared,,PhonePe,,,,,,12,
09-07-2020,-30,Utilities,Telephone,,,,Vodafone,cleared,,Freecharge,Krishna,,1,PCS,,335,
09-07-2020,-500.00,Child Education,Private Tuition,Cash,,,Private tuition,Cleared,,My Cash,,,1,PCS,,13,
09-07-2020,-30,Groceries,milk and dairy products,Cash,butter milk,,,Cleared,,My Cash,,,2,PCS,,14,
09-07-2020,-330,Automobile,Petrol,,30720,,jupiter petrol,,,My Cash,jupiter,,4.25,L,,15,
09-07-2020,-240,Young collection,Office Furniture,,color counter,,Young collection,,,My Cash,,,1,PCS,,16,
09-07-2020,-30,Groceries,Eggs,,,,egg stor,,,My Cash,,,6,PCS,,17,
09-07-2020,-50,Household,Consumables,,,,all @ 20,,,My Cash,,,1,PCS,,18,
09-07-2020,-13,Groceries,milk and dairy products,,,,Amul parlour,,,PayTM,,,2,PCS,,19,
09-07-2020,-25,Groceries,milk and dairy products,,curd,,Amul parlour,,,PayTM,,,1,PCS,,20,
10-07-2020,100,Income,Cashback,Cash,,,paytm,,,Citi Rewards Card,,,1,PCS,,115,
10-07-2020,-17178,Home Loan,Home Equity,,,,maxgain gain,,,SBI SALARY Account,,,1,PCS,,21,
10-07-2020,-1953.2,Account Transfer,,,Transfer:12-07-2020 10:53:12,,SBI SALARY Account,,,Motilal oswal,,,,,,28,
10-07-2020,1953.20,Income,Account Transfer,,Transfer:12-07-2020 10:53:12,,Motilal oswal,,,SBI SALARY Account,,,,,,29,
10-07-2020,-27371,Home Loan,Home Equity,,,,anand avenue,,,SBI SALARY Account,,,1,PCS,,24,
10-07-2020,-30,Groceries,Eggs,,,,egg stor,,,My Cash,,,6,PCS,,22,
11-07-2020,-200.0,Account Transfer,,Cash,Transfer:12-07-2020 10:45:31,,Home cash,,,My Cash,,,,,,25,
11-07-2020,200,Income,Account Transfer,Cash,Transfer:12-07-2020 10:45:31,,My Cash,,,Home cash,,,,,,26,
11-07-2020,-26,Groceries,milk and dairy products,,,,Amul parlour,,,SBI SALARY Account,,,1,PCS,,30,
11-07-2020,-46,Groceries,milk and dairy products,,,,Amul parlour,,,SBI SALARY Account,,,1,PCS,,23,
12-07-2020,2953.20,Income,Initial Balance,,Initial Balance,,,Cleared,,Motilal oswal,,,,,,27,
12-07-2020,-108,Groceries,milk and dairy products,,,,Amul parlour,,,SBI SALARY Account,,,1,PCS,,31,
13-07-2020,11000.00,Income,Equities,,550x20,,Deepak Nitrite,,2020-07-13-11-47-00-110.jpg,Zerodha,,,1,PCS,,32,
13-07-2020,17178,Income,Home equity,,,,maxgain gain,,,SBI218,,,1,PCS,,33,
13-07-2020,1000,Income,Account Transfer,Cash,reversal of ledger balance,,Motilal oswal,,,SBI SALARY Account,,,,,,89,
13-07-2020,-1000.0,Account Transfer,,Cash,Transfer:21-07-2020 17:11:27,,SBI SALARY Account,,,Motilal oswal,,,,,,88,
13-07-2020,-104,Groceries,milk and dairy products,,butter milk,,Amul parlour,,,My Cash,,,8,PCS,,34,
13-07-2020,-50,Automobile,Maintenance,,,,alto antenna,,,My Cash,,,1,PCS,,35,
13-07-2020,-420,Automobile,CNG,,8 kg,,Gujarat gas cng,,,PayTM,,,1,PCS,,42,
14-07-2020,-251.00,Groceries,vegetables and fruits,,,,vegetables,,,My Cash,,,1,PCS,,36,
14-07-2020,-55,Groceries,કર્યાણું,,,,flour mil,,,My Cash,,,1,PCS,,37,
14-07-2020,-11.46,Equity Cash Market,Tax over equity,,,,Deepak Nitrite,,,Zerodha,,,1,PCS,,39,
14-07-2020,-319.91,Loans,Appliance,,,,carrier ac interest,,,HDFC FREEDOM Card,,,1,PCS,,54,
14-07-2020,-1360.55,Loans,Appliance,,,,carrier ac principal,,,HDFC FREEDOM Card,,,1,PCS,,55,
14-07-2020,-30,Groceries,Eggs,,,,egg stor,,,My Cash,,,1,PCS,,40,
14-07-2020,-57.58,Loans,GST,,,,carrier ac,cleared,,HDFC FREEDOM Card,,,1,PCS,,274,
14-07-2020,-500,Young collection,Dress supplies,,,,Young collection,Buy,2020-07-14-19-34-00-362.jpg,My Cash,,,1,PCS,,41,
14-07-2020,-100,Entertainment,Toys,,,,clay,,,PayTM,Nisarg,,1,PCS,,43,
14-07-2020,-11000,Young collection,Dress supplies,,,,Young collection,Buy,2020-07-14-19-45-00-963.jpg,SBI218,,,1,PCS,,44,
14-07-2020,-260,Groceries,,,,,breadliner,,,Tata Star Titanium Sbi Card,,,1,PCS,,45,
14-07-2020,-440,Groceries,milk and dairy products,,cheez  milk  butter milk,,Amul parlour,,,SBI SALARY Account,,,1,PCS,,47,
15-07-2020,-800,Automobile,Maintenance,,,,alto tape repair,,,My Cash,,,1,PCS,,50,
15-07-2020,-100,Utilities,Telephone,,,,airtel sim,,,My Cash,Krishna,,1,PCS,,51,
15-07-2020,-1738.0,Account Transfer,,Cash,Transfer:15-07-2020 18:15:13,,HDFC FREEDOM Card,,,SBI SALARY Account,,,,,,56,
15-07-2020,1738,Income,Account Transfer,Cash,Transfer:15-07-2020 18:15:13,,SBI SALARY Account,,,HDFC FREEDOM Card,,,,,,57,
15-07-2020,7,Income,Promotonal,,,,cred,,,HDFC FREEDOM Card,,,1,PCS,,58,
15-07-2020,-15.93,Equity Cash Market,DP Charges for Sale,,,,Deepak Nitrite,,,Zerodha,,,1,PCS,,62,
16-07-2020,348.75,Income,Account Transfer,Cash,BEING GST Value Pack Scheme Reversal,,Motilal oswal,,,Motilal oswal,,,1,PCS,,90,
16-07-2020,1937.50,Income,Account Transfer,Cash,Value Pack Scheme Reversal,,Motilal oswal,,,Motilal oswal,,,1,PCS,,91,
16-07-2020,-90.00,Equity Cash Market,Tax over equity,Cash,9||BEING GST Value Pack Cancellation||Charges,,Motilal oswal,,,Motilal oswal,,,1,PCS,,92,
16-07-2020,-500,Equity Cash Market,Tax over equity,Cash,Value Pack Cancellation Charges,,Motilal oswal,,,Motilal oswal,,,1,PCS,,93,
16-07-2020,-50,Groceries,Eggs,,,,egg stor,,,My Cash,,,12,PCS,,59,
16-07-2020,-5930,Equity Cash Market,,,10x593,,Iol chemicals,,2020-07-16-20-33-00-381.jpg,Zerodha,,,10,PCS,,61,
16-07-2020,-7.24,Equity Cash Market,Tax over equity,,,,Iol chemicals,,,Zerodha,,,1,PCS,,63,
17-07-2020,2600,Income,Young collection,,,,Young collection,Sale,,My Cash,Young collection sale,,1,PCS,,64,
17-07-2020,-200,Donation,Religious,,બોણી,,Young collection,,,My Cash,,,1,PCS,,65,
17-07-2020,-765,Groceries,shopping mall,,,,ghanshyam bakery,,,Tata Star Titanium Sbi Card,,,1,PCS,,66,
17-07-2020,-7900,Young collection,Dress supplies,,,,Young collection,Buy,2020-07-17-17-52-00-274.jpg,SBI218,,,1,PCS,,67,
17-07-2020,-2460,Young collection,Dress supplies,,,,Young collection,Buy,,My Cash,,,1,PCS,,68,
17-07-2020,-79,Groceries,milk and dairy products,,,,Amul parlour,,,My Cash,,,1,PCS,,69,
17-07-2020,-70,Groceries,vegetables and fruits,,tomato  capsicum  corn,,vegetables,,,My Cash,,,1,PCS,,70,
17-07-2020,-39,Groceries,milk and dairy products,,butter milk,,Amul parlour,,,My Cash,,,1,PCS,,74,
18-07-2020,-28.03,Uncategorized,,,Initial Balance,,,Cleared,,RBL Bank titanium delight card,,,,,,75,
18-07-2020,1,Income,Promotonal,,,,cred,,,RBL Bank titanium delight card,,,1,PCS,,78,
18-07-2020,19.5,Income,Equities,,6.5x3,,reliance,,,SBI SALARY Account,,,1,PCS,,71,
18-07-2020,-217,Household,Consumables,,soap,,shiv shakti super store,,,SBI SALARY Account,,,1,PCS,,72,
